iter	Passed	Remaining
419	14594	20154
420	14626	20115
421	14651	20068
422	14672	20014
423	14694	19961
424	14711	19903
425	14725	19841
426	14742	19782
427	14758	19723
428	14773	19663
429	14787	19602
430	14812	19555
431	14825	19492
432	14843	19436
433	14862	19382
434	14879	19326
435	14896	19269
436	14915	19216
437	14944	19175
438	14991	19157
439	15013	19108
440	15030	19051
441	15043	18991
442	15058	18933
443	15072	18874
444	15087	18816
445	15101	18758
446	15124	18710
447	15141	18656
448	15155	18598
449	15175	18547
450	15188	18489
451	15205	18435
452	15228	18388
453	15250	18341
454	15267	18287
455	15283	18232
456	15299	18179
457	15315	18124
458	15330	18069
459	15350	18019
460	15375	17977
461	15394	17926
462	15419	17883
463	15438	17833
464	15464	17792
465	15499	17761
466	15516	17709
467	15538	17663
468	15568	17626
469	15596	17587
470	15608	17530
471	15625	17479
472	15958	17780
473	15980	17734
474	16061	17751
475	16101	17724
476	16117	17672
477	16131	17615
478	16143	17558
479	16156	17503
480	16170	17447
481	16182	17391
482	16196	17336
483	16209	17281
484	16222	17226
485	16235	17171
486	16250	17118
487	16263	17062
488	16275	17008
489	16288	16953
490	16301	16899
491	16315	16846
492	16329	16793
493	16342	16739
494	16355	16685
495	16368	16632
496	16382	16579
497	16396	16528
498	16410	16475
499	16423	16423
500	16436	16370
501	16449	16317
502	16466	16269
503	16481	16219
504	16498	16171
505	16514	16122
506	16532	16076
507	16550	16028
508	16566	15980
509	16587	15936
510	16603	15889
511	16619	15840
512	16637	15793
513	16651	15744
514	16668	15697
515	16688	15653
516	16719	15619
517	16741	15577
518	16768	15540
519	16792	15500
520	16807	15453
521	16824	15405
522	16852	15370
523	16888	15341
524	16912	15301
525	16934	15260
526	16952	15215
527	16996	15194
528	17013	15148
529	17037	15108
530	17052	15061
531	17065	15012
532	17077	14962
533	17093	14917
534	17106	14868
535	17118	14818
536	17131	14770
537	17145	14723
538	17162	14678
539	17179	14633
540	17196	14590
541	17217	14549
542	17231	14502
543	17244	14455
544	17257	14407
545	17273	14362
546	17286	14315
547	17302	14271
548	17315	14224
549	17328	14178
550	17340	14130
551	17353	14084
552	17365	14037
553	17376	13989
554	17389	13943
555	17406	13900
556	17427	13860
557	17446	13819
558	17461	13775
559	17475	13731
560	17491	13687
561	17507	13644
562	17523	13601
563	17544	13562
564	17570	13527
565	17587	13485
566	17606	13445
567	17620	13401
568	17637	13359
569	17649	13314
570	17660	13268
571	17671	13223
572	17684	13178
573	17695	13133
574	17706	13087
575	17721	13044
576	17734	13001
577	17748	12958
578	17760	12913
579	17772	12869
580	17788	12828
581	17801	12785
582	17812	12741
583	17824	12697
584	17836	12653
585	17847	12608
586	17860	12566
587	17874	12524
588	17886	12480
589	17898	12438
590	17909	12394
591	17921	12351
592	17932	12307
593	17943	12264
594	17955	12222
595	17967	12179
596	17980	12137
597	17994	12096
598	18006	12054
599	18019	12012
600	18030	11970
601	18041	11927
602	18054	11886
603	18068	11845
604	18079	11803
605	18090	11762
606	18102	11720
607	18113	11678
608	18124	11636
609	18137	11595
610	18151	11556
611	18164	11516
612	18178	11476
613	18190	11435
614	18204	11396
615	18216	11355
616	18228	11315
617	18240	11274
618	18254	11235
619	18266	11195
620	18278	11155
621	18291	11115
622	18301	11075
623	18314	11035
624	18325	10995
625	18337	10955
626	18349	10916
627	18360	10875
628	18371	10836
629	18383	10796
630	18394	10756
631	18404	10716
632	18413	10675
633	18424	10636
634	18434	10596
635	18444	10556
636	18455	10516
637	18465	10477
638	18476	10438
639	18487	10398
640	18495	10358
641	18505	10319
642	18512	10278
643	18521	10238
644	18529	10198
645	18537	10158
646	18547	10119
647	18555	10079
648	18564	10040
649	18573	10001
650	18581	9961
651	18589	9922
652	18598	9882
653	18607	9844
654	18616	9805
655	18624	9766
656	18632	9727
657	18641	9689
658	18650	9650
659	18659	9612
660	18667	9574
661	18676	9535
662	18685	9497
663	18694	9459
664	18704	9422
665	18712	9384
666	18720	9346
667	18730	9309
668	18740	9272
669	18749	9234
670	18758	9197
671	18768	9160
672	18778	9124
673	18788	9087
674	18798	9051
675	18808	9014
676	18817	8977
677	18828	8942
678	18840	8906
679	18854	8872
680	18866	8837
681	18877	8802
682	18889	8767
683	18897	8730
684	18907	8694
685	18918	8659
686	18926	8622
687	18935	8586
688	18944	8551
689	18952	8515
690	18962	8479
691	18972	8444
692	18981	8408
693	18990	8373
694	18999	8337
695	19007	8302
696	19016	8266
697	19024	8231
698	19033	8195
699	19042	8161
700	19050	8125
701	19060	8091
702	19069	8056
703	19078	8021
704	19086	7986
705	19095	7952
706	19104	7917
707	19113	7883
708	19122	7848
709	19130	7814
710	19140	7779
711	19149	7745
712	19158	7711
713	19167	7677
714	19176	7643
715	19186	7610
716	19195	7576
717	19204	7542
718	19212	7508
719	19221	7475
720	19229	7441
721	19238	7407
722	19246	7373
723	19255	7340
724	19264	7307
725	19273	7273
726	19281	7240
727	19294	7208
728	19307	7177
729	19319	7145
730	19330	7113
731	19341	7081
732	19350	7048
733	19359	7015
734	19368	6983
735	19376	6950
736	19383	6917
737	19392	6884
738	19399	6851
739	19407	6818
740	19416	6786
741	19425	6754
742	19432	6721
743	19441	6689
744	19449	6657
745	19458	6625
746	19467	6593
747	19477	6561
748	19486	6530
749	19497	6499
750	19513	6469
751	19538	6443
752	19559	6415
753	19576	6386
754	19587	6356
755	19598	6325
756	19609	6294
757	19630	6267
758	19643	6237
759	19653	6206
760	19662	6175
761	19672	6144
762	19681	6113
763	19689	6082
764	19699	6051
765	19707	6020
766	19716	5989
767	19725	5958
768	19735	5928
769	19744	5897
770	19752	5866
771	19761	5836
772	19771	5806
773	19780	5775
774	19789	5745
775	19797	5714
776	19805	5684
777	19814	5653
778	19823	5623
779	19832	5593
780	19840	5563
781	19847	5532
782	19855	5502
783	19863	5472
784	19870	5442
785	19877	5411
786	19884	5381
787	19890	5351
788	19897	5321
789	19905	5291
790	19913	5261
791	19921	5231
792	19928	5201
793	19936	5172
794	19943	5142
795	19951	5113
796	19958	5083
797	19965	5053
798	19972	5024
799	19980	4995
800	19987	4965
801	19994	4936
802	20001	4907
803	20009	4877
804	20016	4848
805	20025	4819
806	20033	4791
807	20041	4762
808	20049	4733
809	20057	4704
810	20064	4676
811	20072	4647
812	20079	4618
813	20086	4589
814	20094	4561
815	20101	4532
816	20108	4504
817	20116	4475
818	20124	4447
819	20133	4419
820	20140	4391
821	20147	4362
822	20155	4334
823	20162	4306
824	20169	4278
825	20177	4250
826	20186	4222
827	20193	4194
828	20201	4167
829	20210	4139
830	20217	4111
831	20225	4083
